
English,Chinese Meanings,pos,word_with_pos,check_status,suggested_zh,notes
berry,果實,n.,berry (n.),OK,,
beside,在…旁；在旁邊,n.,beside (n.),OK,,
besides,此外；而且,n.,besides (n.),OK,,
bet,打賭打賭,n.,bet (n.),OK,,
betray,背叛；出賣,n.,betray (n.),OK,,
betrayal,背叛；密告,adj.,betrayal (adj.),OK,,
better,較佳的；更好的,adj.,better (adj.),OK,,
between,在中間；兩往更遠處向…的那一邊；越過；在～之間,v.,between (v.),OK,,
beverage,飲料,n.,beverage (n.),OK,,
beware,注意；提防,n.,beware (n.),OK,,
beyond,在更遠處；改善；改進,n.,beyond (n.),OK,,
bias,成見；偏心,n.,bias (n.),OK,,
bicycle,腳踏車；自行物學的常的；奇怪的,adj.,bicycle (adj.),OK,,
bid,命令；吩咐；出價,n.,bid (n.),OK,,
bidder,出價人；投標人,n.,bidder (n.),OK,,
bidding,投標,v.,bidding (v.),OK,,
bilingual,雙語的,adj.,bilingual (adj.),OK,,
bill,帳單；票據；議案,n.,bill (n.),OK,,
billboard,廣告牌,n.,billboard (n.),OK,,
billion,十億,n.,billion (n.),OK,,
bin,箱子；容器,n.,bin (n.),OK,,
bind,捆；綁,n.,bind (n.),OK,,
binding,裝訂；封皮黏合的；有約束力的在…之外,adj.,binding (adj.),OK,,
biography,傳記,n.,biography (n.),OK,,
biological,生物的；生,adj.,biological (adj.),OK,,
biology,生物學,n.,biology (n.),OK,,
birth,出生；誕生,n.,birth (n.),OK,,
birthday,生日,n.,birthday (n.),OK,,
biscuit,餅乾,n.,biscuit (n.),OK,,
bit,小片；小塊；位元者之間在…之間,n.,bit (n.),OK,,
bite,咬；啃,v.,bite (v.),OK,,
bitter,苦的；痛苦的,adj.,bitter (adj.),OK,,
bizarre,奇異的；不尋,adj.,bizarre (adj.),OK,,
black and white,黑白,phr.,black and white (phr.),OK,,
blackboard,黑板,n.,blackboard (n.),OK,,
blame,責備；指責,n.,blame (n.),OK,,
bland,溫和的；淡而無味的,adj.,bland (adj.),OK,,
blank,空白處；空的；無內容的空白；空白處使模糊；刪去車,adj.,blank (adj.),OK,,
blanket,毛毯；毯子；毛氈,n.,blanket (n.),OK,,
bleak,荒涼的；無遮蔽的,adj.,bleak (adj.),OK,,
bleed,出血；流血,v.,bleed (v.),OK,,
blend,使混雜；使交融混雜；交融,n.,blend (n.),OK,,
blender,攪拌機；混合器炸；轟擊,n.,blender (n.),OK,,
blind,盲的；視而不見的；不願承認的,adj.,blind (adj.),OK,,
block,街區；街區；障礙阻,n.,block (n.),OK,,
blockage,封鎖；妨礙,n.,blockage (n.),OK,,
blood,血；血液,n.,blood (n.),OK,,
bloom,開花；開花；開花期,n.,bloom (n.),OK,,
blossom,開花；開花；開花期,n.,blossom (n.),OK,,
blow,吹；吹奏,v.,blow (v.),OK,,
blunder,犯大錯；出漏,n.,blunder (n.),OK,,
blur,使模糊不清；使朦,n.,blur (n.),OK,,
board,佈告；登上；板；木板；委員會；理事會毗鄰，接界,n.,board (n.),OK,,
boarding pass,登機證,phr.,boarding pass (phr.),OK,,
boardroom,會議室,n.,boardroom (n.),OK,,
boast,自吹自擂；誇耀,n.,boast (n.),OK,,
boat,小船,n.,boat (n.),OK,,
body,身體；肉體,n.,body (n.),OK,,
boil,沸騰；烹煮,n.,boil (n.),OK,,
bold,無畏的；大膽的,adj.,bold (adj.),OK,,
bomb,炸彈；失敗轟,n.,bomb (n.),OK,,
bombard,砲擊；轟炸,n.,bombard (n.),OK,,
bond,聯結；聯繫,n.,bond (n.),OK,,
bone,骨；骨頭塞；堵住；封鎖,n.,bone (n.),OK,,
bonus,獎金；紅利；紅利；獎金,n.,bonus (n.),OK,,
book,書籍;預訂；書；書籍,n.,book (n.),OK,,
booklet,小冊子,n.,booklet (n.),OK,,
bookshelf,書架；書櫃繁榮；興盛,n.,bookshelf (n.),OK,,
bookstore,書店,n.,bookstore (n.),OK,,
boom,激增；繁榮迅,n.,boom (n.),OK,,
boost,促進；推動；幫助推動；促進子大錯,n.,boost (n.),OK,,
boot,靴子,n.,boot (n.),OK,,
booth,攤販；小隔間,n.,booth (n.),OK,,
border,邊界；邊緣；邊境朧模糊,n.,border (n.),OK,,
borderline,邊界；界線,n.,borderline (n.),OK,,
boring,令人生厭的；乏；無趣的；令人生厭的,adj.,boring (adj.),OK,,
born,誕生,n.,born (n.),OK,,
borrow,借用；借,n.,borrow (n.),OK,,
boss,老闆；上司,n.,boss (n.),OK,,
bother,煩擾；打攪味的,adj.,bother (adj.),OK,,
bothersome,令人討厭,n.,bothersome (n.),OK,,
bottle,瓶子；瓶；罐,n.,bottle (n.),OK,,
bottom,底部；下端,n.,bottom (n.),OK,,
boulevard,大道,n.,boulevard (n.),OK,,
bounce,彈起；彈回,n.,bounce (n.),OK,,
bound,跳躍；跳起,n.,bound (n.),OK,,
boundary,邊界；分界,n.,boundary (n.),OK,,
bow,弓；鞠躬；行禮,n.,bow (n.),OK,,
bowl,保齡球投：滾,n.,bowl (n.),OK,,
box,箱；盒；匣,n.,box (n.),OK,,
boycott,杯葛；聯合抵制杯葛；聯合抵制損；休息；機會,n.,boycott (n.),OK,,
brace,支柱；支撐物進展；突破,n.,brace (n.),OK,,
bracket,托架；撐架,n.,bracket (n.),OK,,
brain,智力，頭腦；腦,n.,brain (n.),OK,,
brainstorm,集體研討；,n.,brainstorm (n.),OK,,
brake,煞車煞車,n.,brake (n.),OK,,
branch,分支；樹枝；支流；分部；部門,n.,branch (n.),OK,,
brand,品牌；商標的；扣人心弦的,adj.,brand (adj.),OK,,
brand-new,全新的；嶄新的地破壞，違反線,phr.,brand-new (phr.),OK,,
brave,勇敢的：英勇的,adj.,brave (adj.),OK,,
bravely,勇敢地：英勇,adv.,bravely (adv.),OK,,
bravo,喝采聲,n.,bravo (n.),OK,,
breach,破壞，違反,n.,breach (n.),OK,,
bread,麵包,n.,bread (n.),OK,,
breadth,寬度；幅度,n.,breadth (n.),OK,,
break,打破；折斷破,v.,break (v.),OK,,
break out,爆發,phr.,break out (phr.),OK,,
breakable,會破的；脆的,adj.,breakable (adj.),OK,,
breakdown,故障；損壞,n.,breakdown (n.),OK,,
breakfast,早餐；早餐支撐；加固,n.,breakfast (n.),OK,,
breakout,包圍突破,n.,breakout (n.),OK,,
breakthrough,突破性,n.,breakthrough (n.),OK,,
breakup,中斷；中止集思廣益,n.,breakup (n.),OK,,
breathe,呼吸；呼氣,n.,breathe (n.),OK,,
breathless,呼吸困難,adj.,breathless (adj.),OK,,
breathtaking,驚人的；令人屏息的,adj.,breathtaking (adj.),OK,,
breeze,微風；和風,n.,breeze (n.),OK,,
brick,磚；磚；磚塊,n.,brick (n.),OK,,
bride,新娘睬,n.,bride (n.),OK,,
bridge,橋：橋墩,n.,bridge (n.),OK,,
brief,簡短的；短暫的,adj.,brief (adj.),OK,,
briefcase,公事包,n.,briefcase (n.),OK,,
briefing,簡報,v.,briefing (v.),OK,,
bright,光亮的；發亮的；晴朗的,adj.,bright (adj.),OK,,
brighten,使明亮；使閃,v.,brighten (v.),OK,,
brilliant,燦爛,n.,brilliant (n.),OK,,
bring,帶來,v.,bring (v.),OK,,
brisk,活潑的；生氣勃勃的,adj.,brisk (adj.),OK,,
brittle,易碎的；敏感的；冒泡扣住；扣緊格；體型難相處的,adj.,brittle (adj.),OK,,
broad,寬闊的,adj.,broad (adj.),OK,,
broadcast,廣播；播送；播放,v.,broadcast (v.),OK,,
brochure,小冊子,n.,brochure (n.),OK,,
broker,代理人，中間人的；大批的,adj.,broker (adj.),OK,,
brokered,以中間人等受瘀傷，使青腫C,v.,brokered (v.),Possible error,以中間人等受瘀傷，使青腫,English letters present in Chinese meaning
browse,瀏覽；觀看；翻閱；瀏覽,n.,browse (n.),OK,,
browser,瀏覽器,n.,browser (n.),OK,,
bruise,傷痕；青腫使,v.,bruise (v.),OK,,
brush,刷；刷洗刷子；毛刷；畫筆,n.,brush (n.),OK,,
brush-off,拒絕；不理,phr.,brush-off (phr.),OK,,
bruta,冷酷的；野蠻的,adj.,bruta (adj.),OK,,
brutal,殘酷,adj.,brutal (adj.),OK,,
brutally,冷酷地；野蠻地,adv.,brutally (adv.),OK,,
bubble,泡泡沸騰；,n.,bubble (n.),OK,,
bucket,水桶；提桶,n.,bucket (n.),OK,,
buckle,釦子；搭鉤,n.,buckle (n.),OK,,
budge,微微移動；讓步,n.,budge (n.),OK,,
budget,預算；預算；經費,v.,budget (v.),OK,,
buffet,自助餐,n.,buffet (n.),OK,,
build,建造；建立體亮,v.,build (v.),OK,,
building,建築；建築物；大樓,v.,building (v.),OK,,
bulb,燈泡,n.,bulb (n.),OK,,
bulk,體積；容積大量,n.,bulk (n.),OK,,
burn,燃燒,v.,burn (v.),OK,,
business,商業；生意；商業；職業,n.,business (n.),OK,,
business trip,商務行程,phr.,business trip (phr.),OK,,
businessman,商人；商人身分安排……,n.,businessman (n.),OK,,
busy,忙碌的,adj.,busy (adj.),OK,,
button,鈕扣；按鈕,n.,button (n.),OK,,
buy,買；購買,v.,buy (v.),OK,,
buyer,買主；買家,n.,buyer (n.),OK,,
c,交通；多產的；豐富的,adj.,c (adj.),OK,,
cab,計程車,n.,cab (n.),OK,,
cabin,客艙；駕駛艙,n.,cabin (n.),OK,,
cabine,櫥；櫃,n.,cabine (n.),OK,,
cable,纜；索,adj.,cable (adj.),OK,,
cafeteria,自助餐廳,n.,cafeteria (n.),OK,,
caffeine,咖啡因,n.,caffeine (n.),OK,,
calcium,鈣,n.,calcium (n.),OK,,
calculate,計算；算,v.,calculate (v.),OK,,
calculation,計算；估計,n.,calculation (n.),OK,,
calculator,計算機,n.,calculator (n.),OK,,
calendar,日曆補者幹的資本額,n.,calendar (n.),OK,,
caliber,口徑；水準，程,n.,caliber (n.),OK,,
call,叫喊；呼叫呼叫；；稱呼；致電,n.,call (n.),OK,,
caller,訪問者；探望者,n.,caller (n.),OK,,
calling,呼喊；召喚,v.,calling (v.),OK,,
calm,鎮靜的；沉著的,adj.,calm (adj.),OK,,
camera,照相機,n.,camera (n.),OK,,
camp,營地；帳篷紮,adv.,camp (adv.),OK,,
campaign,宣傳活動；競選；活動,n.,campaign (n.),OK,,
campus,校園；校園；校區,n.,campus (n.),OK,,
cance,重要性；,n.,cance (n.),OK,,
cancel,取消；廢除；中止,n.,cancel (n.),OK,,
cancellation,取消；消除,n.,cancellation (n.),OK,,
candid,公正的，公平的,adj.,candid (adj.),OK,,
candidate,候選人；候選人；候,v.,candidate (v.),OK,,
cant,不重要的；有意義的；,adj.,cant (adj.),OK,,
capability,能力；才能,n.,capability (n.),OK,,
capable,有能力的；能；能力,adj.,capable (adj.),OK,,
capacity,容量；容量；容積,n.,capacity (n.),OK,,
capital,首都；資本,adj.,capital (adj.),OK,,
capitalization,資本化；,n.,capitalization (n.),OK,,
capitalize,利用；供給,v.,capitalize (v.),OK,,
capture,捕獲；捕獲；俘虜捕獲；俘虜通話,n.,capture (n.),OK,,
care,在乎：關心,n.,care (n.),OK,,
care for sb.,關心,phr.,care for sb. (phr.),OK,,
career,事業；職業；工作,n.,career (n.),OK,,
careful,小心翼翼的；仔,adj.,careful (adj.),OK,,
carefully,小心翼翼地；仔細地營；宿營,adv.,carefully (adv.),OK,,
cargo,貨物,n.,cargo (n.),OK,,
carpet,地毯,n.,carpet (n.),OK,,
carrier,運送人；搬運人,n.,carrier (n.),OK,,
carry,運載；搬運；支,n.,carry (n.),OK,,
cart,小車，手推車,n.,cart (n.),OK,,
carton,紙盒；紙板箱定,n.,carton (n.),OK,,
carve out,開拓,phr.,carve out (phr.),OK,,
case,案子；盒；套,n.,case (n.),OK,,
cash,現金；現金；現款,n.,cash (n.),OK,,
cast,投；擲；拋投；,n.,cast (n.),OK,,
catalog,商品目錄；目錄；目錄冊,n.,catalog (n.),OK,,
catch,抓住,v.,catch (v.),OK,,
cate,證明書；執,v.,cate (v.),OK,,
categorize,將…分類,v.,categorize (v.),OK,,
category,種類；範疇；種類；部屬；類目,n.,category (n.),OK,,
cater,提供飲食；承辦宴席,n.,cater (n.),OK,,
catering,承辦酒席；提供飲食及服務,v.,catering (v.),OK,,
cation,修改；改仔細地；持續幸的；多樣化；認出；識別；資格；能力；載明；詳述,adj.,cation (adj.),OK,,
cause,原因；原因；起因導致；使發生,n.,cause (n.),OK,,
caution,小心；謹慎,n.,caution (n.),OK,,
cautious,十分小心的；票；帳單,adj.,cautious (adj.),OK,,
ce,售票處；票房；牲禮，祭品犧牲；獻出；辦公室；職務,n.,ce (n.),OK,,
celebrate,慶祝,v.,celebrate (v.),OK,,
celebration,慶典,n.,celebration (n.),OK,,
cell phone,行動電話,phr.,cell phone (phr.),OK,,
cent,壯麗的；宏偉的,adj.,cent (adj.),OK,,
central,中心的；中央的,adj.,central (adj.),OK,,
century,世紀；世紀；一百年,n.,century (n.),OK,,
ceremony,儀式；典禮；典禮；儀式,n.,ceremony (n.),OK,,
certain,某個；某些；確鑿的；無疑的,adj.,certain (adj.),OK,,
certainly,無疑地；必撐,adv.,certainly (adv.),OK,,
certificate,證明書,v.,certificate (v.),OK,,
certify,證明，證實續把……兌現,v.,certify (v.),OK,,
chain,鏈子；鏈條；連鎖；連,n.,chain (n.),OK,,
challenge,挑戰；挑戰；提出異議班底；演員,n.,challenge (n.),OK,,
chamber,議院,n.,chamber (n.),OK,,
chance,機會,n.,chance (n.),OK,,
change,改變；更改變化；變更；零錢；變化；改變,n.,change (n.),OK,,
changeable,易變的；不定的,adj.,changeable (adj.),OK,,
channel,引導,n.,channel (n.),OK,,
chapter,章節；篇章；篇,n.,chapter (n.),OK,,
character,人物；角色；性格；特性,n.,character (n.),OK,,
characteristic,特徵；特有的；獨特的,adj.,characteristic (adj.),OK,,
characterize,具有……的特徵；以……為特徵,v.,characterize (v.),OK,,
charge,控告；索價謹慎的；費用,adj.,charge (adj.),OK,,
charm,魅力,n.,charm (n.),OK,,
chart,圖表；圖表；曲線圖,n.,chart (n.),OK,,
check,（美）檢查；支,n.,check (n.),OK,,
check out,結帳,phr.,check out (phr.),OK,,
cheerful,愉快,adj.,cheerful (adj.),OK,,
chef,廚師,n.,chef (n.),OK,,
chemical,化學,adj.,chemical (adj.),OK,,
cheque,（英）支票,n.,cheque (n.),OK,,
cherry,櫻桃,n.,cherry (n.),OK,,
chicken breast,雞胸肉,phr.,chicken breast (phr.),OK,,
chief,主要的,adj.,chief (adj.),OK,,
child／children,兒童,v.,child／children (v.),OK,,
chip,切開,n.,chip (n.),OK,,
chirp,嘰嘰喳喳,n.,chirp (n.),OK,,
choice,選擇；挑選地；明亮地,adv.,choice (adv.),OK,,
choose,抉擇；選擇；挑選,v.,choose (v.),OK,,
chopped,斬除,v.,chopped (v.),OK,,
chore,例行工作；家務,n.,chore (n.),OK,,
cial,人工的；人造；官方的；公務償；抵銷；有益的；有利的,adj.,cial (adj.),OK,,
ciency,不足；缺乏；精通；熟練,n.,ciency (n.),OK,,
ciencyn,效率；效,n.,ciencyn (n.),OK,,
cient,效率高的；有能力的；足夠的；充習；研究,adj.,cient (adj.),OK,,
circle,圓形的東西；圈,n.,circle (n.),OK,,
circumspect,慎重的；謹慎小心的,adj.,circumspect (adj.),OK,,
circumstance,情況；,n.,circumstance (n.),OK,,
circumvent,規避；防,n.,circumvent (n.),OK,,
citation,引用；引證,n.,citation (n.),OK,,
citizen,市民；居民,v.,citizen (v.),OK,,
citizenship,公民權；公民身分導的,adj.,citizenship (adj.),OK,,
city,城市；都市,n.,city (n.),OK,,
civic,城市的；市民的,adj.,civic (adj.),OK,,
claim,主張；斷言；聲；要求,n.,claim (n.),OK,,
clarify,澄清；闡明,v.,clarify (v.),OK,,
class,課程；階級,n.,class (n.),OK,,
clause,條款；款合稱,n.,clause (n.),OK,,
clean,潔淨的,adj.,clean (adj.),OK,,
clear,明亮的；顯然的清除；收拾；明確,adj.,clear (adj.),OK,,
clearance,清除；清掃,n.,clearance (n.),OK,,
clearly,顯然地；無疑,adv.,clearly (adv.),OK,,
clerk,辦事員；職員,n.,clerk (n.),OK,,
click,點擊,n.,click (n.),OK,,
client,委託人；客戶活；客戶,n.,client (n.),OK,,
climate,氣候,v.,climate (v.),OK,,
climb,爬；攀爬,n.,climb (n.),OK,,
clip,剪；修剪剪；修,n.,clip (n.),OK,,
clock,時鐘,n.,clock (n.),OK,,
closely,仔細地；嚴密地,adv.,closely (adv.),OK,,
closet,衣櫥,n.,closet (n.),OK,,
clothes,衣物,n.,clothes (n.),OK,,
clothing,服裝,v.,clothing (v.),OK,,
clue,線索,n.,clue (n.),OK,,
coach,教練訓練；指,n.,coach (n.),OK,,
coconut,椰子,n.,coconut (n.),OK,,
cognition,認知；知識,n.,cognition (n.),OK,,
coherent,一致的；協調環境；情勢,adj.,coherent (adj.),OK,,
cohesive,凝聚性的；,adj.,cohesive (adj.),OK,,
coin,硬幣,n.,coin (n.),OK,,
coincidence,巧合；符,n.,coincidence (n.),OK,,
collaborate,合作；勾結,v.,collaborate (v.),OK,,
collaboration,合作；勾結,n.,collaboration (n.),OK,,
collateral,並行的；附屬的擔保品；抵押品,adj.,collateral (adj.),OK,,
colleague,同事；同僚；同僚,n.,colleague (n.),OK,,
collect,收集；採集；蒐集；採集,n.,collect (n.),OK,,
collectible,可收集的,adj.,collectible (adj.),OK,,
collection,採集；收取,n.,collection (n.),OK,,
college,大學；學院,n.,college (n.),OK,,
collide,碰撞；相撞,n.,collide (n.),OK,,
color,色彩,n.,color (n.),OK,,
combination,結合；聯合,n.,combination (n.),OK,,
combine,結合；結合；聯合,n.,combine (n.),OK,,
come,來臨；到達；來；來到,v.,come (v.),OK,,
come in handy,派上用場,phr.,come in handy (phr.),OK,,
come into play,發揮作用,phr.,come into play (phr.),OK,,
comedy,喜劇,n.,comedy (n.),OK,,
comfort,安慰；慰問；舒服,n.,comfort (n.),OK,,
comfortable,舒適的；舒適的；,adj.,comfortable (adj.),OK,,
comforting,令人欣慰的,adj.,comforting (adj.),OK,,
comic,漫畫,adj.,comic (adj.),OK,,
command,指揮；控制,n.,command (n.),OK,,
comment,註釋；評論；評論,v.,comment (v.),OK,,
commentary,評論,n.,commentary (n.),OK,,
commerce,商業；商業；貿易地；比較地照下評論,adv.,commerce (adv.),OK,,
commercial,商業的；商務的廣告；廣告,adj.,commercial (adj.),OK,,
commission,佣金；委任委任；委託,n.,commission (n.),OK,,
commit,犯（罪）；做（錯事等）,n.,commit (n.),OK,,
commitment,託付；交託,n.,commitment (n.),OK,,
committed,忠誠的，堅定的；承諾,adj.,committed (adj.),OK,,
committee,委員會,n.,committee (n.),OK,,
commodity,商品；日用品,n.,commodity (n.),OK,,
common,普通的；常見的,adj.,common (adj.),OK,,
communicate,溝通,v.,communicate (v.),OK,,
communication,信息交流；溝通；交流,n.,communication (n.),OK,,
community,社區,n.,community (n.),OK,,
commute,通勤；替代；代償安逸；舒適,n.,commute (n.),OK,,
commuter,通勤者,n.,commuter (n.),OK,,
company,公司；陪伴；公司,n.,company (n.),OK,,
comparatively,對比舒服的,adj.,comparatively (adj.),OK,,
compare,比較；對照,n.,compare (n.),OK,,
comparison,比較；對,n.,comparison (n.),OK,,
compatible,能共處的；可並立的,adj.,compatible (adj.),OK,,
compel,強迫；強求,n.,compel (n.),OK,,
compensate,補償；賠償,v.,compensate (v.),OK,,
compensation,補償；,n.,compensation (n.),OK,,
compete,對抗；競爭；競爭,n.,compete (n.),OK,,
competence,稱職；勝任,n.,competence (n.),OK,,
competent,有能力的；,adj.,competent (adj.),OK,,
competition,比賽；競賽；競賽,n.,competition (n.),OK,,
competitive,競爭性的；好競爭的；競爭激烈的,adj.,competitive (adj.),OK,,
competitor,競爭者；競爭者；對手,n.,competitor (n.),OK,,
complain,抱怨,n.,complain (n.),OK,,
complaint,抱怨,n.,complaint (n.),OK,,
complete,十足的；完整的；競爭；比賽,adj.,complete (adj.),OK,,
completion,完成；結,n.,completion (n.),OK,,
complex,複雜；複雜的；錯綜,adj.,complex (adj.),OK,,
compliant,順從的；應,adj.,compliant (adj.),OK,,
complicate,使複雜化；,v.,complicate (v.),OK,,
complicated,複雜；複雜的；難懂的,adj.,complicated (adj.),OK,,
compliment,稱讚：讚美稱讚：讚美,v.,compliment (v.),OK,,
comply,依從；順從關心的事；關係,adv.,comply (adv.),OK,,
component,構成要素；,n.,component (n.),OK,,
compose,作（詩，曲等）；使安定；組成；組成；構成,n.,compose (n.),OK,,
composition,寫作；作曲,n.,composition (n.),OK,,
composure,平靜；鎮靜,n.,composure (n.),OK,,
