English,Chinese Meanings,pos,word_with_pos,check_status,suggested_zh,notes,ecdict_zh,ecdict_pos
announcement,公告；通告；,n.,announcement (n.),OK,,,"n. 公告, 发表, 告知\n[经] 通告, 布告, 公告",
annoy,惹惱,n.,annoy (n.),OK,,,"vt. 使恼怒, 骚扰",
annual,一年一次的；每年的,adj.,annual (adj.),OK,,,"n. 年刊, 年报\na. 每年的, 一年一次的, 全年的, 一年生的",
annually,每年；每年,adv.,annually (adv.),OK,,,"adv. 一年一次, 每年\n[经] 年度的, 每年的",
anonymous,匿名的；共計；相當於的,adj.,anonymous (adj.),OK,,,"a. 姓氏不详的, 无名的, 无特色的\n[计] 无记录",
another,又一；再一,n.,another (n.),OK,,,"a. 另外的, 再一的, 不同的\npron. 又一个, 另一个, 类似的另一个",
answer,回答；答覆,n.,answer (n.),OK,,,"n. 答案, 回答, 回报, 答辩\nvt. 回答, 反驳, 适应, 响应, 符合\nvi. 回答, 答应, 负责, 符合, 成功\n[计] 用户问题及答案新闻组",
antibiotic,抗生的；抗菌的抗生素；抗菌素在…之間；被…包圍,adj.,antibiotic (adj.),OK,,,n. 抗生素\na. 抗生的,
anxiety,焦慮；掛念在…之中；,n.,anxiety (n.),OK,,,"n. 焦虑, 忧虑, 令人焦虑的事\n[医] 焦虑",
anxious,焦慮的；掛念,adj.,anxious (adj.),OK,,,"a. 忧虑的, 发愁的, 渴望的",
anxiously,焦急地,adv.,anxiously (adv.),OK,,,"adv. 忧虑地, 不安地",
any,任一；每一任何一個；任何人,n.,any (n.),OK,,,a. 任何的\npron. 任何,
anything,無論何事,v.,anything (v.),OK,,,pron. 任何事,
apart,分開地；有距離,adv.,apart (adv.),OK,,,"adv. 成零碎, 成距离, 分别地, 分离着\na. 分离的",
apologetic,道歉的；認,adj.,apologetic (adj.),OK,,,"a. 道歉的, 急于认错的, 辩护的\n[法] 辩护的, 辩解的, 道歉的",
apologize,道歉；謝罪,v.,apologize (v.),OK,,,"vi. 道歉, 辩解",
apology,道歉；陪罪,n.,apology (n.),OK,,,"n. 道歉, 辩护\n[法] 道歉, 谢罪, 辩解者",
apparent,明顯的；表面的；外觀的,adj.,apparent (adj.),OK,,,"a. 清晰可见的, 显然的, 表面上的\n[电] 外在的",
apparently,顯然地；表面上,adv.,apparently (adv.),OK,,,"adv. 表面上, 清楚地, 显然地",
appeal,呼籲；懇求；申訴,adj.,appeal (adj.),OK,,,"n. 恳求, 诉请, 上诉, 吸引力\nvi. 呼吁, 诉请, 要求, 上诉, 有吸引力\nvt. 将...上诉",
appear,出現；出現；顯露,n.,appear (n.),OK,,,"vi. 出现, 显得, 来到\n[法] 出庭, 到案, 出现",
appearance,出現；顯露；容貌,n.,appearance (n.),OK,,,"n. 出现, 露面, 外观, 外表, 出版\n[计] 外观, 版面",
appetite,食慾；胃口,n.,appetite (n.),OK,,,"n. 食欲, 欲望, 爱好\n[医] 食欲",
appetizer,開胃小菜,n.,appetizer (n.),OK,,,"n. 开胃食品, 吊胃口的东西\n[医] 开胃剂",
applaud,鼓掌歡迎；喝,n.,applaud (n.),OK,,,"v. 拍手喝彩, 称赞, 赞同",
appliance,家用電器；用具；裝置,n.,appliance (n.),OK,,,"n. 器械, 用具, 应用\n[医] 矫正器; 器",
applicant,申請人,n.,applicant (n.),OK,,,"n. 申请者\n[经] 申请人, 请求人, 谋事人",
application,申請書,n.,application (n.),OK,,,"n. 应用, 申请, 志愿书, 应用程序\n[计] 应用, 应用程序",
apply,申請；申請；請求,adv.,apply (adv.),OK,,,"vt. 涂, 应用\nvi. 申请, 适用",
apply for,申請,phr.,apply for (phr.),OK,,,"申请,请求,要求…",
appoint,任命；指派,n.,appoint (n.),OK,,,"vt. 任命, 指定, 下令\n[法] 派, 派任, 任命",
appointment,約定；預約,n.,appointment (n.),OK,,,"n. 约会, 委任的职位, 委派\n[经] 任命, 派, 指定",
appraise,估計；估量,v.,appraise (v.),OK,,,"vt. 评价, 估价\n[经] 评价, 鉴定",
appreciate,賞識；鑑賞,v.,appreciate (v.),OK,,,"vt. 赏识, 鉴别, 为...而感激, 领会, 欣赏\nvi. 增值, 涨价",
appreciation,欣賞,n.,appreciation (n.),OK,,,"n. 感激, 赏识, 鉴别\n[经] 涨价, 增值",
apprehend,逮捕；,n.,apprehend (n.),OK,,,"vt. 理解, 忧虑, 逮捕\nvi. 担心, 理解",
apprentice,徒弟；見習生,n.,apprentice (n.),OK,,,"n. 学徒, 生手\nvt. 使做学徒",
approach,接近；靠近；走近,n.,approach (n.),OK,,,"n. 接近, 入门\nvt. 接近, 近似, 找...商量\nvi. 靠近",
appropriate,合適的；適當的；,adj.,appropriate (adj.),OK,,,"a. 适当的\n[经] 适当的, 拨出, 占用",
approval,批准；認可；贊同,adj.,approval (adj.),OK,,,"n. 赞成, 批准\n[化] 核准",
approve,同意；贊許,n.,approve (n.),OK,,,"vt. 赞同, 核准, 为...提供证据\nvi. 赞许",
approximate,接近的；地,adj.,approximate (adj.),OK,,,"a. 大约的, 接近的, 近似的\nvt. 接近, 使接近, 粗略估计\nvi. 接近于",
approximately,大致；大約,adv.,approximately (adv.),OK,,,"adv. 大约, 大致, 近于\n[经] 大约, 近似",
apt,易於…的；有…傾向的,adj.,apt (adj.),OK,,,"a. 有...倾向的, 易于的, 恰当的, 聪明的\n[计] 自动数控语言, 自动图象传输, 自动程序控制, 自动程序设计工具",
architect,建築師；設計師,n.,architect (n.),OK,,,"n. 建筑师, 设计者, 缔造者",
architecture,建築物；建築學；結構,n.,architecture (n.),OK,,,"n. 建筑学, 建筑式样\n[计] 体系结构",
archive,把…存檔；把…收集歸檔檔案保管處；文件；記錄采,adj.,archive (adj.),OK,,,"vt. 把...存档\nn. 档案馆, 档案文件\n[计] 挡案库, 存档",
area,區域；地區；區域,n.,area (n.),OK,,,"n. 区域, 面积, 范围, 空地\n[计] 区域",
arena,圓形運動場；比,n.,arena (n.),OK,,,"n. 角斗场, 舞台, 场地\n[医] 尿沉渣, 尿沙; 脑沙",
arguably,按理說,adv.,arguably (adv.),OK,,,adv. 可论证地；可争辩地；正如可提出证据加以证明的那样地,
argue,爭論；辯論；主張生,n.,argue (n.),OK,,,"vi. 提出理由, 争论, 辩论\nvt. 主张, 辩论, 证明, 说服",
argument,爭執；爭吵,n.,argument (n.),OK,,,"n. 争论, 论证, 论据, 自变量\n[计] 参数",
arise,升起；上升；產,v.,arise (v.),OK,,,"vi. 站立, 出现, 起来",
arm,手臂,n.,arm (n.),OK,,,"n. 手臂, 袖子, 狭长港湾, 武器\nvt. 武装, 装备\nvi. 武装起来\n[计] 异步应答方式; 自动货品销路管理",
armed,武裝的,adj.,armed (adj.),OK,,,"a. 有扶手的, 武装的, 有防卫器官的\n[法] 武装的, 持械的, ""F带武器的",
around,到處；周圍；周圍,n.,around (n.),OK,,,"prep. 包围, 在...周围, 四处\nadv. 兜着圈子, 在附近, 到处",
arouse,喚起；激動；使奮發；激發,n.,arouse (n.),OK,,,"vt. 唤醒, 鼓励, 引起\nvi. 醒来",
arrange,安排；整理；安排；籌備,n.,arrange (n.),OK,,,"v. 安排, 排列, 达成协议\n[计] 重排",
arrangement,安排,n.,arrangement (n.),OK,,,"n. 排列, 整齐, 安排\n[计] 排列",
arrest,逮捕；逮捕；拘留,n.,arrest (n.),OK,,,"n. 逮捕, 监禁\nvt. 拘捕, 抑制, 吸引, 阻止",
arrival,到達；到來；抵達,adj.,arrival (adj.),OK,,,"n. 到达, 抵达, 到达者\n[经] 到达, 到达物",
arrive,到達；到來,adj.,arrive (adj.),OK,,,"vi. 到达, 抵达",
art,藝術,n.,art (n.),OK,,,"n. 艺术, 人文科学, 技术, 巧妙, 诡计, 美术\n[计] 实际保持时间, 特许权和资源表, 平均检索时间, 平均运行时间",
article,文章,n.,article (n.),OK,,,"n. 文章, 冠词, 物品, 物件, 条款, 契约\n[计] 信件",
articulate,清楚地講話；清晰地發音；明確有力地表達,v.,articulate (v.),OK,,,"a. 发音清晰的, 口才好的\nvt. 明白地说, 以关节连接, 使成为系统的整体",
artificial,人造的；人工的,adj.,artificial (adj.),OK,,,"a. 人造的, 假的, 非原地产的\n[医] 人工的, 人造的, 伟牟",
as well as,又；也；還,phr.,as well as (phr.),OK,,,"也, 又",
ascend,登高；上升,n.,ascend (n.),OK,,,"vi. 上升, 追溯, 登高\nvt. 攀登",
ash,灰燼,n.,ash (n.),OK,,,"n. 灰, 灰烬\n[化] 灰分",
aspect,方面,n.,aspect (n.),OK,,,"n. 外观, 方面, 面貌, 方向\n[医] 方面, 局面; 外观",
assemble,組合；集合；召集,n.,assemble (n.),OK,,,"vt. 集合, 收集, 装配\nvi. 集合\n[计] 汇编",
assembly,裝配,adv.,assembly (adv.),OK,,,"n. 与会者, 集会, 装配, 组件\n[化] 装配",
assert,斷言；聲稱,n.,assert (n.),OK,,,"vt. 主张, 坚称, 断言\n[法] 宣称, 断言, 维护",
assess,對……進行估價；評價,n.,assess (n.),OK,,,"vt. 估定, 对...征税, 评定\n[经] 估计, 估价, 确定(税款罚款等)的金额",
assign,分配；分派,n.,assign (n.),OK,,,"vt. 分配, 指派, 赋值\n[计] 赋值",
assignment,任務；工作,n.,assignment (n.),OK,,,"n. 分配, 功课, 任务, 转让, 归因, 陈述\n[计] 赋值",
assimilate,被吸收；被消化,v.,assimilate (v.),OK,,,"vt. 使同化, 吸收, 使相拟, 把...比作\nvi. 被吸收, 被同化",
assist,協助；幫助；協助,n.,assist (n.),OK,,,"n. 帮助, 协助\nvt. 帮助, 促进\nvi. 协助, 参加",
assistance,幫助；援助；援助；幫助,n.,assistance (n.),OK,,,"n. 协助, 援助\n[经] 援助, 帮助",
assistant,助理,n.,assistant (n.),OK,,,"n. 助手, 助理, 助教\na. 有帮助的, 辅助的, 助理的",
associate,夥伴；同事；相關,v.,associate (v.),OK,,,"n. 同伴, 伙伴, 关联的事物\nvt. 使联合, 使发生联系\nvi. 交往\n[计] 关联",
association,協會；公,n.,association (n.),OK,,,n. 协会\n[计] 关联,
assume,以為；假定為,n.,assume (n.),OK,,,"vt. 假定, 承担, 呈现\nvi. 装腔作势, 僭越",
assurance,保證,n.,assurance (n.),OK,,,"n. 保证, 把握, 信心, 保险\n[经] 保证, 担保, 保险",
assure,向……保證；擔保,n.,assure (n.),OK,,,"vt. 保证, 使确信, 弄清楚, 担保\n[法] 确信, 保证, 保障",
astonish,使吃驚；使驚訝,adj.,astonish (adj.),OK,,,vt. 使惊讶,
at,在…地點；在…時刻,n.,at (n.),OK,,,"prep. 在, 向, 对\n[计] 地址转换器, 异常传输, 自动订票",
at least,至少,phr.,at least (phr.),OK,,,至少\n[法] 至少,
ate,抽出……中的,adj.,ate (adj.),OK,,,"eat的过去式\n[计] 自动测试设备, 自动测试执行程序",
ation,通貨膨脹,n.,ation (n.),OK,,,"增强辐射, 文明阶段",
atmosphere,氣氛,n.,atmosphere (n.),OK,,,"n. 大气, 空气, 气氛\n[医] 大气; 大气压",
attach,連接；固定；附屬；附加,n.,attach (n.),OK,,,"vt. 附上, 使依附, 使附属, 使喜爱, 系, 缚\nvi. 附属, 归属, 联系在一起\n[计] 挂接服务器命令, 关联, 挂接, 附加",
attachment,附屬物；,n.,attachment (n.),OK,,,"n. 连接, 附属物, 连接物, 爱慕\n[计] 附加, 附件",
attain,達到；獲得成就，造詣,n.,attain (n.),OK,,,"vt. 达到, 获得\nvi. 达到",
attempt,企圖；嘗試試圖；企圖；嘗試,n.,attempt (n.),OK,,,"n. 尝试, 企图\nvt. 尝试, 企图",
attend,出席；出席；參加,n.,attend (n.),OK,,,"vt. 参加, 照料, 伴随\nvi. 专心于, 照顾, 服侍, 出席",
attendance,出席；到場；出席,n.,attendance (n.),OK,,,"n. 出席, 出席的人数, 照料\n[法] 管理, 照料, 资助",
attention,專心；留心；注意力；專心,n.,attention (n.),OK,,,"n. 注意, 注意力\n[计] 引起注意信号",
attest,證實；證明夥伴的；共事的,adj.,attest (adj.),OK,,,"vi. 证明, 表明, 作证\nvt. 为...作证",
attitude,態度,n.,attitude (n.),OK,,,"n. 态度, 看法, 姿势\n[医] 体态, 姿势, 态度",
attorney,律師,n.,attorney (n.),OK,,,"n. 代理人, 律师\n[经] 律师, 代理人",
attract,吸引；吸引；引起,n.,attract (n.),OK,,,"vt. 吸引, 诱惑\nvi. 有吸引力",
attractive,誘人的,adj.,attractive (adj.),OK,,,"a. 吸引人的, 有魅力的\n[法] 有吸引力的, 有迷惑力的",
attribute,把…歸因於；,n.,attribute (n.),OK,,,"n. 属性, 标志, 定语\nvt. 把...归于, 认为...属于\n[计] 属性",
auction,拍賣拍賣,n.,auction (n.),OK,,,n. 拍卖\nvt. 拍卖,
audience,聽眾；觀眾；觀眾；聽眾,n.,audience (n.),OK,,,"n. 听众, 观众, 读者\n[法] 听讼, 观众, 听众",
audit,審計；查帳審,n.,audit (n.),OK,,,"n. 审计, 查帐\nvt. 查(帐), 旁听\nvi. 查账\n[计] 查帐; 审查; 检查",
auditory,耳朵的；聽覺的聽眾；禮堂,adj.,auditory (adj.),OK,,,"a. 听觉的, 听觉器官的\n[医] 听[音]的, 听觉的",
author,作者；作者；作家,n.,author (n.),OK,,,"n. 作家, 作家的著作, 创始人\n[法] 作者, 著作人, 本人",
authority,權威,n.,authority (n.),OK,,,"n. 权力, 当权者, 当局, 权威, 专家\n[经] 代理权, 授权, 权威",
automatic,自動；自動的；習,adj.,automatic (adj.),OK,,,"n. 自动手枪, 自动机械\na. 自动的, 机械的, 必然的, 无意识的",
automobile,汽車,n.,automobile (n.),OK,,,n. 汽车\n[机] 汽车,
available,可得的；可獲得的;可行的；可用的；可,adj.,available (adj.),OK,,,"a. 可利用的, 可获得的, 有效的\n[医] 有效的, 可得的",
avenue,大街；大道；大道；途徑,n.,avenue (n.),OK,,,"n. 大街, 途径, 林荫路",
average,平均；平均；中等,n.,average (n.),OK,,,"n. 平均, 平均数, 一般水平, 海损\na. 平均的, 中等的, 平常的\nvt. 算出...平均数, 平均做, 均分, 使平衡\nvi. 平均为, 呈中间色",
avert,避開；移開,n.,avert (n.),OK,,,"vt. 转开, 避免, 防止",
avoid,避免；避開；躲開,n.,avoid (n.),OK,,,"vt. 避免, 防止, 撤消\n[法] 避免, 回避, 躲开",
avoidance,逃避；迴避,n.,avoidance (n.),OK,,,"n. 避免, 避开, 逃避\n[经] 回避, 废止, 宣告无效",
aw,裂縫；缺點使破裂；使有缺陷ﬂ,n.,aw (n.),OK,,,"int. 哦！噢！（表示抗议, 厌恶, 讨厌等）",
await,等候；期待,n.,await (n.),OK,,,vt. 等候\nvi. 等待着,
award,獎賞,n.,award (n.),OK,,,"n. 奖品, 裁定, 判决\nvt. 授予, 给予",
aware,察覺,n.,aware (n.),OK,,,"a. 知道的, 有觉悟的",
awareness,察覺；覺悟B,n.,awareness (n.),Possible error,察覺；覺悟,English letters present in Chinese meaning,"n. 意识, 认识\n[计] 识别, 议定, 明白",
awed,有缺點的；錯誤的,adj.,awed (adj.),OK,,,"a. 充满敬畏的, 畏怯的",
awless,無瑕的；完美的,adj.,awless (adj.),OK,,,"a. 无威仪的, 不知畏惧的",
bachelor,單身漢；學士,n.,bachelor (n.),OK,,,"n. 单身汉, 学士\n[法] 学士, 单身汉",
back,背部；後部倒退；後退向後；後退地後面的；後部的,adj.,back (adj.),OK,,,"a. 后面的\nvt. 使后退, 支持\nvi. 倒退, 背靠\nadv. 向后地\nn. 背部, 后面",
backache,背痛；腰痛,n.,backache (n.),OK,,,n. 背痛,
backbone,脊骨；脊柱,n.,backbone (n.),OK,,,"n. 脊椎, 志气, 骨干, 支柱\n[计] 主干网, 主干网点",
backbreaking,非常辛計；查帳,v.,backbreaking (v.),OK,,,a. 非常辛劳的,
background,背景；遠用的背包,n.,background (n.),OK,,,"n. 背景, 背景资料\n[计] 背景, 后台",
backlash,反衝；強烈反對；後座力利用的,adj.,backlash (adj.),OK,,,"n. 后冲, 强烈反对\n[电] 反撞, 逆栅流",
backlog,存貨；儲備金,n.,backlog (n.),OK,,,"n. 积压待办的事务, 积压而未交付的订货, 积压的工作\nvt. 储备, 把...积压起来\n[计] 储备, 后备, 积压",
backpack,登山、遠足因慣性的,adj.,backpack (adj.),OK,,,"n. 远足用的背包；双肩背包, 背包",
backup,備用；備用物,n.,backup (n.),OK,,,"n. 倒车, 后退, 后援, 支持, 阻塞\nvt. 做备份\na. 候补的, 支持的\n[计] 备份; DOS外部命令:通常使用于将硬磁盘上指定的文件复制到软盘上",
backward,向後的；反備用的備份向的向後；倒,adj.,backward (adj.),OK,,,"adv. 向后地, 相反地\na. 向后的, 相反的\n[计] 倒推",
backyard,後院,n.,backyard (n.),OK,,,"n. 后院, 后庭",
bacon,燻肉,n.,bacon (n.),OK,,,n. 熏猪肉\n[机] 腌肉,
bacteria,細菌,n.,bacteria (n.),OK,,,"pl. 细菌\n[医] 细菌, [无芽胞]杆菌",
bad,壞的；不好的很；非常,adj.,bad (adj.),OK,,,a. 坏的\nn. 坏\nadv. 坏地,
bad-tempered,情緒惡,phr.,bad-tempered (phr.),OK,,,a. 脾气不好的,
badge,徽章；紀念章,n.,badge (n.),OK,,,"n. 徽章, 标记\n[计] 标记",
badly,壞地；拙劣地,adv.,badly (adv.),OK,,,"adv. 严重地, 恶劣地, 极度地",
badminton,羽毛球,n.,badminton (n.),OK,,,n. 羽毛球运动,
bag,袋；提袋,n.,bag (n.),OK,,,"n. 袋子, 袋状物\nvt. 使膨大, 装袋, 猎获",
baggage,行李劣的；易怒的,adj.,baggage (adj.),OK,,,n. 行李\n[经] 行李,
bail,保釋保釋；保釋行業,n.,bail (n.),OK,,,"n. 保释, 拎环, 杓, 栅栏\nvt. 保释, 舀水",
bailout,跳傘；緊急（財,n.,bailout (n.),OK,,,跳伞,
bait,餌；引誘物引誘；誘惑,n.,bait (n.),OK,,,"n. 饵\nvt. 以饵引诱, 欺负\nvi. 中途休息",
bake,烘；烤；烘培,n.,bake (n.),OK,,,"vt. 烘焙, 烤\nvi. 烤面包\nn. 烘焙, 烤",
baked,烘烤,v.,baked (v.),OK,,,a. 烘焙的；烤的,
baker,麵包師：糕點師,n.,baker (n.),OK,,,n. 面包师\n[医] 烤箱(骨科用),
bakery,麵包店；糕點店,n.,bakery (n.),OK,,,n. 面包店,
balance,平衡；平衡；均衡,v.,balance (v.),OK,,,"n. 平衡, 差额\nvi. 平衡, 相等\nvt. 称, 权衡, 比较, 使平衡, 结算, 抵消",
balcony,陽臺；露臺,n.,balcony (n.),OK,,,"n. 阳台, 戏院楼厅",
bald,禿頭的；赤裸裸的,adj.,bald (adj.),OK,,,"a. 秃头的, 光秃的, 单调的, 赤裸的\nvi. 变秃",
ballet,芭蕾,n.,ballet (n.),OK,,,n. 芭蕾舞,
ballroom,跳舞的大廳,n.,ballroom (n.),OK,,,"n. 舞厅, 跳舞场",
ban,禁止；禁令禁止；334.,n.,ban (n.),OK,,,"n. 禁令\nvt. 禁止, 取缔",
banana split,香蕉船,phr.,banana split (phr.),OK,,,n. 香蕉半剖条,
band,帶；細繩；樂團；樂團,n.,band (n.),OK,,,"n. 带子, 队, 乐队\nv. 联合, 结合\n[计] 频带; 波段; 区",
banish,流放；放逐,adj.,banish (adj.),OK,,,"vt. 驱逐, 消除\n[法] 驱逐, 流放",
bank,銀行；堤；岸,n.,bank (n.),OK,,,"n. 银行, 堤, 岸\n[医] 库",
bankbook,銀行存摺,n.,bankbook (n.),OK,,,n. 银行存折,
bankcard,銀行信用卡難對付的,adj.,bankcard (adj.),OK,,,,
banker,銀行家,n.,banker (n.),OK,,,"n. 银行家, 庄家\n[经] 银行业者, 银行家",
banking,銀行業務；銀,v.,banking (v.),OK,,,"n. 银行业务\n[经] 银行业, 银行事务",
bankrupt,破產的使,n.,bankrupt (n.),OK,,,n. 破产者\na. 破产的\nvt. 使破产,
banner,旗幟；橫幅,n.,banner (n.),OK,,,"n. 旗帜\na. 显著的, 特别好的",
banquet,宴會；宴會；盛宴宴請,n.,banquet (n.),OK,,,n. 宴会,
bar,棒；條；酒吧；酒吧,n.,bar (n.),OK,,,"n. 条, 棒, 酒吧, 栅, 障碍物\nvt. 禁止, 阻挡, 妨碍\n[计] 棒形图",
bar code,條碼,phr.,bar code (phr.),OK,,,条形码\n[计] 条形码,
barbecue,烤肉；燒烤,n.,barbecue (n.),OK,,,"n. 烤肉\nvt. 烤肉, 烧烤",
bare,裸的；光禿禿的,adj.,bare (adj.),OK,,,"a. 赤裸的, 缺少的, 无遮蔽的, 坦率的\nvt. 使赤裸, 露出",
barely,僅僅；僅僅；勉強,adv.,barely (adv.),OK,,,adv. 几乎不,
bareness,赤裸；無遮,n.,bareness (n.),OK,,,"n. 赤裸, 裸露",
